Country Code,Country Name,Subnational Code,Subnational Name
AFG,Afghanistan,AFG.11,Badakhshan
AFG,Afghanistan,AFG.12,Badghis
AFG,Afghanistan,AFG.13,Baghlan
AFG,Afghanistan,AFG.14,Balkh
AFG,Afghanistan,AFG.15,Bamyan
AFG,Afghanistan,AFG.16,Daykundi
AFG,Afghanistan,AFG.17,Farah
AFG,Afghanistan,AFG.18,Faryab
AFG,Afghanistan,AFG.19,Ghazni
AFG,Afghanistan,AFG.110,Ghor
AFG,Afghanistan,AFG.111,Hilmand
AFG,Afghanistan,AFG.112,Hirat
AFG,Afghanistan,AFG.113,Jawzjan
AFG,Afghanistan,AFG.114,Kabul
AFG,Afghanistan,AFG.115,Kandahar
AFG,Afghanistan,AFG.116,Kapisa
AFG,Afghanistan,AFG.117,Khost
AFG,Afghanistan,AFG.118,Kunar
AFG,Afghanistan,AFG.119,Kunduz
AFG,Afghanistan,AFG.120,Laghman
AFG,Afghanistan,AFG.121,Logar
AFG,Afghanistan,AFG.122,Nangarhar
AFG,Afghanistan,AFG.123,Nimroz
AFG,Afghanistan,AFG.124,Nuristan
AFG,Afghanistan,AFG.125,Paktika
AFG,Afghanistan,AFG.126,Paktya
AFG,Afghanistan,AFG.127,Panjsher
AFG,Afghanistan,AFG.128,Parwan
AFG,Afghanistan,AFG.129,Samangan
AFG,Afghanistan,AFG.130,Sar-e-Pul
AFG,Afghanistan,AFG.131,Takhar
AFG,Afghanistan,AFG.132,Uruzgan
AFG,Afghanistan,AFG.133,Wardak
AFG,Afghanistan,AFG.134,Zabul
ALB,Albania,ALB.3305,Berat
ALB,Albania,ALB.3306,Bulqize
ALB,Albania,ALB.3307,Delvine
ALB,Albania,ALB.3308,Devoll
ALB,Albania,ALB.3309,Diber
ALB,Albania,ALB.3310,Durres
ALB,Albania,ALB.3311,Elbasan
ALB,Albania,ALB.3312,Fier
ALB,Albania,ALB.3313,Gjirokaster
ALB,Albania,ALB.3314,Gramsh
ALB,Albania,ALB.3315,Has
ALB,Albania,ALB.3316,Kavaje
ALB,Albania,ALB.3317,Kolonje
ALB,Albania,ALB.3318,Korce
ALB,Albania,ALB.3319,Kruje
ALB,Albania,ALB.3320,Kucove
ALB,Albania,ALB.3321,Kukes
ALB,Albania,ALB.3322,Kurbin
ALB,Albania,ALB.3323,Lezhe
ALB,Albania,ALB.3324,Librazhd
ALB,Albania,ALB.3325,Lushnje
ALB,Albania,ALB.3326,Malesi E Madhe
ALB,Albania,ALB.3327,Mallakaster
ALB,Albania,ALB.3328,Mat
ALB,Albania,ALB.3329,Mirdite
ALB,Albania,ALB.3330,Peqin
ALB,Albania,ALB.3331,Permet
ALB,Albania,ALB.3332,Pogradec
ALB,Albania,ALB.3333,Puke
ALB,Albania,ALB.3334,Sarande
ALB,Albania,ALB.3335,Shkoder
ALB,Albania,ALB.3336,Skrapar
ALB,Albania,ALB.3337,Tepelene
ALB,Albania,ALB.3338,Tirane
ALB,Albania,ALB.3339,Tropoje
ALB,Albania,ALB.3340,Vlore
AND,Andorra,AND.7391,Andorra La Vella
AND,Andorra,AND.7392,Canillo
AND,Andorra,AND.7393,Encamp
AND,Andorra,AND.7394,Escaldes-engordany
AND,Andorra,AND.7395,La Massana
AND,Andorra,AND.7396,Ordino
AND,Andorra,AND.7397,Sant Julia De Loria
ARE,United Arab Emirates,ARE.2553173,Abu Dhabi
ARE,United Arab Emirates,ARE.255149626,Ajman
ARE,United Arab Emirates,ARE.2553177,Dubai
ARE,United Arab Emirates,ARE.255149627,Fujairah
ARE,United Arab Emirates,ARE.2553179,Ras Al Khaimah
